,Benchmark,System,Error
0,Matching,FLEXDTW,8.06097172913378
1,Matching,parflex,9.374309762839191
2,Subseq_20,FLEXDTW,10.96044868243276
3,Subseq_20,parflex,11.044528037791968
4,Subseq_30,FLEXDTW,10.050261128665214
5,Subseq_30,parflex,10.51783697058005
6,Subseq_40,FLEXDTW,9.184486699295176
7,Subseq_40,parflex,9.62915983582036
8,PartialStart,FLEXDTW,6.804437102706307
9,PartialStart,parflex,7.520661659200026
10,PartialEnd,FLEXDTW,8.38971356971233
11,PartialEnd,parflex,9.408147669502153
12,PartialOverlap,FLEXDTW,7.168770393268074
13,PartialOverlap,parflex,7.598460129372031
14,Pre_5,FLEXDTW,8.01729570539898
15,Pre_5,parflex,9.534787952904768
16,Pre_10,FLEXDTW,7.953965470983522
17,Pre_10,parflex,9.380985955038653
18,Pre_20,FLEXDTW,7.929070137454685
19,Pre_20,parflex,9.24858520880259
20,Post_5,FLEXDTW,7.995332904892338
21,Post_5,parflex,9.312227414816157
22,Post_10,FLEXDTW,7.926387181710977
23,Post_10,parflex,9.33107049934174
24,Post_20,FLEXDTW,7.880964117026785
25,Post_20,parflex,9.267553081967419
26,PrePost_5,FLEXDTW,7.988781501332119
27,PrePost_5,parflex,9.488117001828153
28,PrePost_10,FLEXDTW,7.948038010619513
29,PrePost_10,parflex,9.442381965545858
30,PrePost_20,FLEXDTW,7.935995906932633
31,PrePost_20,parflex,9.296379257632385
